table_name,feature_id,issue_type,issue_description,checked_at
polygons,832072716,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,832072716,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,828483417,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,828483417,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,828483416,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,828483416,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1352480363,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,670519898,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,828473473,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,828473473,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360007074,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115699,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359990335,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,828152023,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,828152023,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,792962943,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,792962943,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115699,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115699,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360007011,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360007011,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,792962943,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,832072712,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,792960583,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,792960583,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,792960583,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,792960584,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,792960581,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115700,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,792960581,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,792960580,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,792960580,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360241892,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360242116,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360241926,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360242055,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360241951,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360242135,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,736834160,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,736834160,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,736834160,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,736834160,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,736834160,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,736834160,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1271796007,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115701,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360007064,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115700,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360007168,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360269401,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1135209112,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1135209112,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360228663,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360228575,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1084990394,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1187074703,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,739017390,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,739046868,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,923959272,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1003351335,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1003351335,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255654,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255654,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1337619906,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,450069556,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,450069556,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1361688823,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1361688825,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1361688824,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,469641336,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,469641336,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,469641336,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1214509610,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255580,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255571,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255575,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255575,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255567,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255634,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255634,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115697,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115697,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115697,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115697,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115697,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115698,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115698,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115698,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115698,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115698,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115698,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115698,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255565,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255970,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255974,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360255569,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,910115696,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359958522,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359958587,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359958581,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359958552,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359997273,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1274061286,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360237347,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360237601,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360237592,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,365651627,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,365651675,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1272485320,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1272484689,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,923955976,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,923955976,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360494101,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,470109423,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359953596,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359953554,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1019957219,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1019957219,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,797943297,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,797943297,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,797943297,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,797943297,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,797943297,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,797943297,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,797943297,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,797943297,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,797943297,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359968257,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359968276,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359968474,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360234858,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360234765,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359968095,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359968013,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359968079,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360297110,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,267033009,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359997296,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359997320,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359997264,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359997254,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359997338,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,359997329,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1152593382,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1152593382,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1152593382,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1152593382,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,234801925,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,190031752,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,927045092,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,-5359022,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,934156124,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,934156126,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,651724114,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360329379,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360488120,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360256908,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360257106,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1060929500,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360325000,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1060929497,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360324973,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1060929499,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360324989,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360329347,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,737071534,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360329272,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360329290,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,1041720760,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,352754676,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
polygons,360656636,Overlapping Feature,Overlaps with another polygon,2025/06/24 14:09:53.413
