table_name,feature_id,issue_type,issue_description,checked_at
osm2pgsql_polygon,832072716,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,832072716,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,828483417,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,828483417,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,828483416,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,828483416,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,1352480363,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,670519898,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,828473473,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,828473473,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,360007074,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,910115699,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,359990335,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,828152023,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,828152023,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,792962943,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,792962943,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,910115699,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
